2020.10.16. 00:04,0028,0331,0560
2020.10.16. 00:09,0003,0336,0552
2020.10.16. 00:30,0000,0326,0550
2020.10.16. 00:35,0010,0327,0578
2020.10.16. 01:02,0000,0309,0453
2020.10.16. 01:07,0013,0286,0373
2020.10.16. 01:12,0001,0349,0511
2020.10.16. 01:20,0000,0331,0610
2020.10.16. 01:25,0045,0307,0510
2020.10.16. 01:30,0016,0348,0480
2020.10.16. 01:35,0006,0337,0507
2020.10.16. 01:40,0007,0319,0492
2020.10.16. 01:45,0015,0326,0447
2020.10.16. 01:50,0015,0333,0575
2020.10.16. 01:55,0007,0308,0401
2020.10.16. 02:00,0023,0329,0480
2020.10.16. 02:05,0046,0339,0610
2020.10.16. 02:10,0070,0296,0548
2020.10.16. 02:15,0009,0317,0443
2020.10.16. 02:20,0006,0336,0628
2020.10.16. 02:25,0002,0305,0441
2020.10.16. 02:30,0020,0252,0354
2020.10.16. 02:35,0009,0322,0534
2020.10.16. 02:40,0002,0334,0470
2020.10.16. 02:45,0008,0348,0475
2020.10.16. 02:50,0022,0349,0423
2020.10.16. 02:55,0021,0318,0524
2020.10.16. 03:00,0071,0337,0612
2020.10.16. 03:05,0008,0329,0456
2020.10.16. 03:10,0009,0264,0394
2020.10.16. 03:15,0010,0314,0436
2020.10.16. 03:20,0043,0349,0498
2020.10.16. 03:25,0017,0346,0500
2020.10.16. 03:30,0023,0347,0598
2020.10.16. 03:35,0003,0294,0425
2020.10.16. 03:40,0008,0333,0394
2020.10.16. 03:45,0049,0328,0501
2020.10.16. 03:50,0013,0349,0505
2020.10.16. 03:55,0002,0329,0574
2020.10.16. 04:00,0009,0342,0548
2020.10.16. 04:05,0057,0339,0562
2020.10.16. 04:10,0010,0336,0515
2020.10.16. 04:15,0043,0294,0507
2020.10.16. 04:20,0023,0304,0469
2020.10.16. 04:25,0020,0330,0488
2020.10.16. 04:30,0031,0330,0475
2020.10.16. 04:35,0040,0333,0501
2020.10.16. 04:40,0019,0316,0420
2020.10.16. 04:45,0043,0312,0536
2020.10.16. 04:50,0026,0300,0548
2020.10.16. 04:55,0037,0302,0617
2020.10.16. 05:00,0089,0348,0718
2020.10.16. 05:05,0027,0316,0580
2020.10.16. 05:10,0001,0334,0435
2020.10.16. 05:15,0044,0312,0529
2020.10.16. 05:20,0021,0345,0441
2020.10.16. 05:25,0030,0341,0722
2020.10.16. 05:30,0030,0337,0645
2020.10.16. 05:35,0076,0346,0560
2020.10.16. 05:40,0020,0341,0465
2020.10.16. 05:45,0005,0330,0613
2020.10.16. 05:50,0032,0340,0638
2020.10.16. 05:55,0013,0345,0370
2020.10.16. 06:00,0050,0341,0547
2020.10.16. 06:05,0007,0347,0540
2020.10.16. 06:10,0012,0319,0368
2020.10.16. 06:15,0009,0341,0449
2020.10.16. 06:20,0030,0296,0484
2020.10.16. 06:25,0019,0338,0475
2020.10.16. 06:30,0022,0324,0501
2020.10.16. 06:35,0001,0346,0647
2020.10.16. 06:40,0019,0314,0396
2020.10.16. 06:45,0004,0338,0468
2020.10.16. 06:50,0036,0314,0545
2020.10.16. 06:55,0021,0341,0709
2020.10.16. 07:00,0071,0349,0642
2020.10.16. 07:05,0015,0329,0583
2020.10.16. 07:10,0024,0313,0538
2020.10.16. 07:15,0018,0324,0473
2020.10.16. 07:20,0006,0335,0403
2020.10.16. 07:25,0009,0328,0457
2020.10.16. 07:30,0067,0328,0603
2020.10.16. 07:35,0003,0319,0505
2020.10.16. 07:40,0028,0349,0602
2020.10.16. 07:45,0052,0323,0600
2020.10.16. 07:50,0013,0336,0454
2020.10.16. 07:55,0022,0308,0414
2020.10.16. 08:00,0008,0343,0460
2020.10.16. 08:05,0042,0329,0488
2020.10.16. 08:10,0010,0302,0406
2020.10.16. 08:15,0028,0331,0659
2020.10.16. 08:20,0019,0326,0444
2020.10.16. 08:25,0001,0335,0522
2020.10.16. 08:30,0015,0333,0515
2020.10.16. 08:35,0074,0315,0553
2020.10.16. 08:40,0005,0323,0476
2020.10.16. 08:45,0003,0317,0546
2020.10.16. 08:50,0004,0344,0450
2020.10.16. 08:55,0033,0328,0444
2020.10.16. 09:00,0056,0328,0475
2020.10.16. 09:05,0001,0342,0559
2020.10.16. 09:10,0006,0336,0488
2020.10.16. 09:15,0033,0303,0537
2020.10.16. 09:20,0082,0348,0657
2020.10.16. 09:25,0001,0333,0425
2020.10.16. 09:30,0010,0297,0481
2020.10.16. 09:35,0019,0343,0599
2020.10.16. 09:40,0001,0315,0591
